Date,Adj Close,Volume,Day_Perc_Change,Name
1/28/2020,9269.679688,2157830000,1.426476661,NASDAQ
1/29/2020,9275.160156,2223480000,0.059122518,NASDAQ
1/30/2020,9298.929688,2333500000,0.256270852,NASDAQ
1/31/2020,9150.94043,2685840000,-1.591465502,NASDAQ
2/3/2020,9273.400391,2420510000,1.338222688,NASDAQ
2/4/2020,9467.969727,2445420000,2.098144454,NASDAQ
2/5/2020,9508.679688,2462470000,0.429975614,NASDAQ
2/6/2020,9572.150391,2267300000,0.667502798,NASDAQ
2/7/2020,9520.509766,2238670000,-0.539488233,NASDAQ
2/10/2020,9628.389648,2179310000,1.133131362,NASDAQ
2/11/2020,9638.94043,2423670000,0.109579923,NASDAQ
2/12/2020,9725.959961,2355000000,0.90279146,NASDAQ
2/13/2020,9711.969727,2239270000,-0.143844248,NASDAQ
2/14/2020,9731.179688,2222240000,0.197796755,NASDAQ
2/18/2020,9732.740234,2273460000,0.016036555,NASDAQ
2/19/2020,9817.179688,2462530000,0.867581503,NASDAQ
2/20/2020,9750.969727,2735610000,-0.674429552,NASDAQ
2/21/2020,9576.589844,2743010000,-1.788333754,NASDAQ
2/24/2020,9221.280273,3177000000,-3.710188875,NASDAQ
2/25/2020,8965.610352,3583400000,-2.772607636,NASDAQ
2/26/2020,8980.780273,3567830000,0.169201208,NASDAQ
2/27/2020,8566.480469,4536080000,-4.613182724,NASDAQ
2/28/2020,8567.370117,5301170000,0.010385222,NASDAQ
3/2/2020,8952.169922,4232760000,4.491457702,NASDAQ
3/3/2020,8684.089844,4336700000,-2.994582099,NASDAQ
3/4/2020,9018.089844,3602870000,3.846114055,NASDAQ
3/5/2020,8738.589844,3748090000,-3.099325964,NASDAQ
3/6/2020,8575.620117,4279850000,-1.864943085,NASDAQ
3/9/2020,7950.680176,4530350000,-7.287402339,NASDAQ
3/10/2020,8344.25,4431930000,4.950140306,NASDAQ
3/11/2020,7952.049805,4273890000,-4.700245019,NASDAQ
3/12/2020,7201.799805,5066530000,-9.434674309,NASDAQ
3/13/2020,7874.879883,4685890000,9.34599817,NASDAQ
3/16/2020,6904.589844,4594360000,-12.32133129,NASDAQ
3/17/2020,7334.779785,4900000000,6.230492335,NASDAQ
3/18/2020,6989.839844,4890820000,-4.702798872,NASDAQ
3/19/2020,7150.580078,4762170000,2.299626853,NASDAQ
3/20/2020,6879.52002,5239940000,-3.79074222,NASDAQ
3/23/2020,6860.669922,4330610000,-0.274003098,NASDAQ
3/24/2020,7417.859863,4417380000,8.121509231,NASDAQ
3/25/2020,7384.299805,4666440000,-0.452422378,NASDAQ
3/26/2020,7797.540039,3999850000,5.596200654,NASDAQ
3/27/2020,7502.379883,3977010000,-3.78529837,NASDAQ
3/30/2020,7774.149902,3846900000,3.622450785,NASDAQ
3/31/2020,7700.100098,4059700000,-0.9525132,NASDAQ
4/1/2020,7360.580078,3685510000,-4.409293589,NASDAQ
4/2/2020,7487.310059,3608190000,1.721739043,NASDAQ
4/3/2020,7373.080078,3279100000,-1.525647797,NASDAQ
4/6/2020,7913.240234,3849100000,7.3261127,NASDAQ
4/7/2020,7887.259766,4069410000,-0.328316432,NASDAQ
4/8/2020,8090.899902,3470730000,2.581887018,NASDAQ
4/9/2020,8153.580078,4123670000,0.774699684,NASDAQ
4/13/2020,8192.419922,3146860000,0.476353254,NASDAQ
4/14/2020,8515.740234,3732820000,3.946578851,NASDAQ
4/15/2020,8393.179688,3333750000,-1.439223633,NASDAQ
4/16/2020,8532.360352,3995870000,1.658259077,NASDAQ
4/17/2020,8650.139648,4335020000,1.380383518,NASDAQ
4/20/2020,8560.730469,3796950000,-1.03361544,NASDAQ
4/21/2020,8263.230469,3756290000,-3.475170735,NASDAQ
4/22/2020,8495.379883,3025060000,2.809426832,NASDAQ
4/23/2020,8494.75,3734720000,-0.007414418,NASDAQ
4/24/2020,8634.519531,3673170000,1.645363678,NASDAQ
4/27/2020,8730.160156,3678460000,1.107654278,NASDAQ
4/28/2020,8607.730469,3707540000,-1.402376186,NASDAQ
4/29/2020,8914.709961,4378540000,3.566323238,NASDAQ
4/30/2020,8889.549805,4316380000,-0.282231908,NASDAQ
5/1/2020,8604.950195,3722520000,-3.201507571,NASDAQ
5/4/2020,8710.709961,3422150000,1.229057271,NASDAQ
5/5/2020,8809.120117,3913360000,1.129760449,NASDAQ
5/6/2020,8854.389648,3620030000,0.513893901,NASDAQ
5/7/2020,8979.660156,3762070000,1.414784225,NASDAQ
5/8/2020,9121.320313,3777340000,1.577567019,NASDAQ
5/11/2020,9192.339844,3898690000,0.778610207,NASDAQ
5/12/2020,9002.549805,4315070000,-2.064654291,NASDAQ
5/13/2020,8863.169922,4244110000,-1.548226736,NASDAQ
5/14/2020,8943.719727,3945080000,0.908814856,NASDAQ
5/15/2020,9014.55957,4221500000,0.792062421,NASDAQ
5/18/2020,9234.830078,4318310000,2.44349717,NASDAQ
5/19/2020,9185.099609,4144770000,-0.538509843,NASDAQ
5/20/2020,9375.780273,4292470000,2.075978183,NASDAQ
5/21/2020,9284.879883,3725950000,-0.969523467,NASDAQ
5/22/2020,9324.589844,3641830000,0.427684165,NASDAQ
5/26/2020,9340.219727,4432310000,0.167620059,NASDAQ
5/27/2020,9412.360352,4462450000,0.772365395,NASDAQ
5/28/2020,9368.990234,4064220000,-0.460778342,NASDAQ
5/29/2020,9489.870117,423570000,1.290212499,NASDAQ
6/1/2020,9552.049805,3824770000,0.655221697,NASDAQ
6/2/2020,9608.379883,3962460000,0.589717172,NASDAQ
6/3/2020,9682.910156,4638380000,0.775679916,NASDAQ
6/4/2020,9615.80957,6074320000,-0.692979537,NASDAQ
6/5/2020,9814.080078,6572850000,2.061922156,NASDAQ
6/8/2020,9924.75,6143120000,1.127664754,NASDAQ
6/9/2020,9953.75,5281860000,0.292198796,NASDAQ
6/10/2020,10020.34961,5128400000,0.669090634,NASDAQ
6/11/2020,9492.730469,5271000000,-5.265476361,NASDAQ
6/12/2020,9588.80957,4366190000,1.012133456,NASDAQ
6/15/2020,9726.019531,4440650000,1.430938429,NASDAQ
6/16/2020,9895.870117,4639860000,1.746352508,NASDAQ
